Image,Model1 Time,Model2 Time,Total Time
5630-8164_2022-05-26T08-31-30Z.jpg,0.04097485542297363,6.722514867782593,7.1189470291137695
1967-0514_2022-05-28T09-54-27Z.jpg,0.04223060607910156,7.5827014446258545,7.943706750869751
1967-0514_2022-06-01T09-07-24Z.jpg,0.04304671287536621,5.980908155441284,6.295422315597534
1967-0514_2022-06-01T13-46-00Z.jpg,0.04300737380981445,8.017746686935425,8.383774995803833
5630-8164_2022-05-31T13-13-23Z.jpg,0.04344940185546875,5.438888788223267,5.741377353668213
3200-5100_2022-06-06T09-06-21Z.jpg,0.0431978702545166,3.2870934009552,3.597695827484131
2649-7404_2022-05-26T11-42-43Z.jpg,0.04275345802307129,17.098392248153687,17.782806634902954
1967-0514_2022-06-01T13-47-40Z.jpg,0.04338717460632324,8.726433277130127,9.117680311203003
5630-8164_2022-05-26T13-26-48Z.jpg,0.0431973934173584,7.7108681201934814,8.069564819335938
0344-6782_2022-05-30T11-43-38Z.jpg,0.042862892150878906,6.297076463699341,6.635878086090088
2649-7404_2022-05-29T10-41-24Z.jpg,0.042017459869384766,14.569981098175049,15.18283200263977
0344-6782_2022-05-30T11-26-46Z.jpg,0.04248547554016113,4.10693359375,4.4033362865448
5630-8164_2022-05-26T13-03-47Z.jpg,0.04158616065979004,8.741306781768799,9.153018474578857
2649-7404_2022-05-29T10-34-11Z.jpg,0.04191470146179199,13.577407598495483,14.153250455856323
0344-6782_2022-05-30T11-23-50Z.jpg,0.04166364669799805,4.9134202003479,5.2213051319122314
2649-7404_2022-05-26T11-29-54Z.jpg,0.0414423942565918,13.655820846557617,14.240315675735474
0344-6782_2022-05-30T11-05-25Z.jpg,0.041623592376708984,5.494795083999634,5.816630125045776
2649-7404_2022-05-26T11-42-59Z.jpg,0.04238700866699219,17.782992601394653,18.514681577682495
2649-7404_2022-05-26T11-30-42Z.jpg,0.041703224182128906,16.271061182022095,16.942363023757935
2649-7404_2022-05-29T10-29-07Z.jpg,0.04177045822143555,14.378745794296265,14.984106063842773
5630-8164_2022-05-26T08-31-30Z.jpg,0.2140500545501709,0,0.3387577533721924
1967-0514_2022-05-28T09-54-27Z.jpg,0.008754491806030273,0,0.12791681289672852
1967-0514_2022-06-01T09-07-24Z.jpg,0.00896763801574707,0,0.1256864070892334
1967-0514_2022-06-01T13-46-00Z.jpg,0.00897073745727539,0,0.12711548805236816
5630-8164_2022-05-31T13-13-23Z.jpg,0.008932352066040039,0,0.13656115531921387
3200-5100_2022-06-06T09-06-21Z.jpg,0.008833646774291992,0,0.17823410034179688
2649-7404_2022-05-26T11-42-43Z.jpg,0.008748769760131836,0,0.1325230598449707
1967-0514_2022-06-01T13-47-40Z.jpg,0.009114742279052734,0,0.12919902801513672
5630-8164_2022-05-26T13-26-48Z.jpg,0.009170055389404297,0,0.12549519538879395
0344-6782_2022-05-30T11-43-38Z.jpg,0.00920248031616211,0,0.1282351016998291
2649-7404_2022-05-29T10-41-24Z.jpg,0.009274721145629883,0,0.12233948707580566
0344-6782_2022-05-30T11-26-46Z.jpg,0.008927345275878906,0,0.12879514694213867
5630-8164_2022-05-26T13-03-47Z.jpg,1.9526329040527344,0,2.0705935955047607
2649-7404_2022-05-29T10-34-11Z.jpg,0.008925199508666992,0,0.13279199600219727
0344-6782_2022-05-30T11-23-50Z.jpg,0.009087085723876953,0,0.12731456756591797
2649-7404_2022-05-26T11-29-54Z.jpg,0.0929861068725586,0,0.2117152214050293
0344-6782_2022-05-30T11-05-25Z.jpg,0.008808135986328125,0,0.13304948806762695
2649-7404_2022-05-26T11-42-59Z.jpg,0.009144067764282227,0,0.12763762474060059
2649-7404_2022-05-26T11-30-42Z.jpg,0.008826255798339844,0,0.1253211498260498
2649-7404_2022-05-29T10-29-07Z.jpg,0.009216070175170898,0,0.12586140632629395
5630-8164_2022-05-26T08-31-30Z.jpg,0.012235641479492188,0,0.13844084739685059
1967-0514_2022-05-28T09-54-27Z.jpg,0.009190797805786133,0,0.12645483016967773
1967-0514_2022-06-01T09-07-24Z.jpg,0.009144306182861328,0,0.12685775756835938
1967-0514_2022-06-01T13-46-00Z.jpg,0.008829355239868164,0,0.12535691261291504
5630-8164_2022-05-31T13-13-23Z.jpg,0.009242773056030273,0,0.13036155700683594
3200-5100_2022-06-06T09-06-21Z.jpg,0.009469747543334961,0,0.17589354515075684
2649-7404_2022-05-26T11-42-43Z.jpg,0.008954286575317383,0,0.12486791610717773
1967-0514_2022-06-01T13-47-40Z.jpg,0.009201765060424805,0,0.1262648105621338
5630-8164_2022-05-26T13-26-48Z.jpg,0.009369611740112305,0,0.12663912773132324
0344-6782_2022-05-30T11-43-38Z.jpg,0.009346485137939453,0,0.12659382820129395
2649-7404_2022-05-29T10-41-24Z.jpg,0.009104251861572266,0,0.1230156421661377
0344-6782_2022-05-30T11-26-46Z.jpg,0.008934736251831055,0,0.12653112411499023
5630-8164_2022-05-26T13-03-47Z.jpg,0.009530067443847656,0,0.12833738327026367
2649-7404_2022-05-29T10-34-11Z.jpg,0.009477376937866211,0,0.12121701240539551
0344-6782_2022-05-30T11-23-50Z.jpg,0.008976936340332031,0,0.12647533416748047
2649-7404_2022-05-26T11-29-54Z.jpg,0.009030580520629883,0,0.1251065731048584
0344-6782_2022-05-30T11-05-25Z.jpg,0.009026527404785156,0,0.12590575218200684
2649-7404_2022-05-26T11-42-59Z.jpg,0.009238958358764648,0,0.12444901466369629
2649-7404_2022-05-26T11-30-42Z.jpg,0.009217262268066406,0,0.12543368339538574
2649-7404_2022-05-29T10-29-07Z.jpg,0.009417295455932617,0,0.12312602996826172
5630-8164_2022-05-26T08-31-30Z.jpg,0.012204408645629883,0,0.13602256774902344
1967-0514_2022-05-28T09-54-27Z.jpg,0.009296417236328125,0,0.12347412109375
1967-0514_2022-06-01T09-07-24Z.jpg,0.009276628494262695,0,0.12418127059936523
1967-0514_2022-06-01T13-46-00Z.jpg,0.008975982666015625,0,0.12224245071411133
5630-8164_2022-05-31T13-13-23Z.jpg,0.008963584899902344,0,0.12711262702941895
3200-5100_2022-06-06T09-06-21Z.jpg,0.008789300918579102,0,0.17085862159729004
2649-7404_2022-05-26T11-42-43Z.jpg,0.009175539016723633,0,0.12219429016113281
1967-0514_2022-06-01T13-47-40Z.jpg,0.008913040161132812,0,0.12285900115966797
5630-8164_2022-05-26T13-26-48Z.jpg,0.009685277938842773,0,0.12423372268676758
0344-6782_2022-05-30T11-43-38Z.jpg,0.008805274963378906,0,0.12279987335205078
2649-7404_2022-05-29T10-41-24Z.jpg,0.009105682373046875,0,0.12037372589111328
0344-6782_2022-05-30T11-26-46Z.jpg,0.009200096130371094,0,0.12415003776550293
5630-8164_2022-05-26T13-03-47Z.jpg,0.009049415588378906,0,0.12452220916748047
2649-7404_2022-05-29T10-34-11Z.jpg,0.010995864868164062,0,0.12037134170532227
0344-6782_2022-05-30T11-23-50Z.jpg,0.008721351623535156,0,0.12293362617492676
2649-7404_2022-05-26T11-29-54Z.jpg,0.009171485900878906,0,0.12314605712890625
0344-6782_2022-05-30T11-05-25Z.jpg,1.1718032360076904,0,1.2860467433929443
2649-7404_2022-05-26T11-42-59Z.jpg,0.009035587310791016,0,0.12502789497375488
2649-7404_2022-05-26T11-30-42Z.jpg,0.009036540985107422,0,0.12611603736877441
2649-7404_2022-05-29T10-29-07Z.jpg,0.009526252746582031,0,0.12370991706848145
5630-8164_2022-05-26T08-31-30Z.jpg,3.068951368331909,0,3.1918437480926514
1967-0514_2022-05-28T09-54-27Z.jpg,0.009221553802490234,0,0.12109804153442383
1967-0514_2022-06-01T09-07-24Z.jpg,0.00954127311706543,0,0.12440776824951172
1967-0514_2022-06-01T13-46-00Z.jpg,0.008874893188476562,0,0.12019586563110352
5630-8164_2022-05-31T13-13-23Z.jpg,0.008955717086791992,0,0.12471818923950195
3200-5100_2022-06-06T09-06-21Z.jpg,0.009045600891113281,0,0.17058086395263672
2649-7404_2022-05-26T11-42-43Z.jpg,0.009042978286743164,0,0.1201467514038086
1967-0514_2022-06-01T13-47-40Z.jpg,0.009051799774169922,0,0.1219644546508789
5630-8164_2022-05-26T13-26-48Z.jpg,0.009056329727172852,0,0.12197422981262207
0344-6782_2022-05-30T11-43-38Z.jpg,0.009172677993774414,0,0.12145137786865234
2649-7404_2022-05-29T10-41-24Z.jpg,0.008805036544799805,0,0.1186819076538086
0344-6782_2022-05-30T11-26-46Z.jpg,0.009172439575195312,0,0.12196612358093262
5630-8164_2022-05-26T13-03-47Z.jpg,0.008919954299926758,0,0.12314915657043457
2649-7404_2022-05-29T10-34-11Z.jpg,0.009073495864868164,0,0.11633682250976562
0344-6782_2022-05-30T11-23-50Z.jpg,0.00885152816772461,0,0.12179422378540039
2649-7404_2022-05-26T11-29-54Z.jpg,0.008794307708740234,0,0.11986517906188965
0344-6782_2022-05-30T11-05-25Z.jpg,0.008757352828979492,0,0.12127518653869629
2649-7404_2022-05-26T11-42-59Z.jpg,0.008874654769897461,0,0.11976337432861328
2649-7404_2022-05-26T11-30-42Z.jpg,0.008851766586303711,0,0.12052655220031738
2649-7404_2022-05-29T10-29-07Z.jpg,0.009877920150756836,0,0.11889338493347168
